Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_101_617,VPWR,li1,291.1800,285.6000,1.799926
FILLER_101_613,VPWR,li1,288.1900,285.6000,1.799926
FILLER_101_601,VPWR,li1,284.7400,285.6000,1.799926
FILLER_101_589,VPWR,li1,279.2200,285.6000,1.799926
FILLER_101_585,VPWR,li1,275.3100,285.6000,1.799926
FILLER_101_573,VPWR,li1,271.8600,285.6000,1.799926
FILLER_101_567,VPWR,li1,267.0300,285.6000,1.799926
FILLER_101_561,VPWR,li1,264.0400,285.6000,1.799926
FILLER_101_555,VPWR,li1,261.0500,285.6000,1.799926
FILLER_101_545,VPWR,li1,257.1400,285.6000,1.799927
FILLER_101_541,VPWR,li1,254.6100,285.6000,1.799927
FILLER_101_533,VPWR,li1,252.5400,285.6000,1.799928
FILLER_101_525,VPWR,li1,247.7100,285.6000,1.799929
FILLER_101_518,VPWR,li1,244.4900,285.6000,1.799931
FILLER_101_513,VPWR,li1,241.7300,285.6000,1.799933
FILLER_101_505,VPWR,li1,239.6600,285.6000,1.799936
FILLER_101_501,VPWR,li1,236.6700,285.6000,1.799941
FILLER_101_489,VPWR,li1,233.2200,285.6000,1.799944
FILLER_101_477,VPWR,li1,227.7000,285.6000,1.799953
FILLER_101_471,VPWR,li1,222.4100,285.6000,1.799961
FILLER_101_467,VPWR,li1,221.2600,285.6000,1.799961
FILLER_101_455,VPWR,li1,217.5800,285.6000,1.799970
FILLER_101_449,VPWR,li1,212.5200,285.6000,1.799979
FILLER_101_445,VPWR,li1,210.9100,285.6000,1.799984
FILLER_101_433,VPWR,li1,207.4600,285.6000,1.799982
FILLER_101_421,VPWR,li1,201.9400,285.6000,1.799976
FILLER_101_417,VPWR,li1,198.0300,285.6000,1.799974
FILLER_101_405,VPWR,li1,194.5800,285.6000,1.799971
FILLER_101_393,VPWR,li1,189.0600,285.6000,1.799965
FILLER_101_389,VPWR,li1,185.1500,285.6000,1.799964
FILLER_101_377,VPWR,li1,181.7000,285.6000,1.799961
FILLER_101_365,VPWR,li1,176.1800,285.6000,1.799958
FILLER_101_356,VPWR,li1,171.1200,285.6000,1.799957
FILLER_101_349,VPWR,li1,166.9800,285.6000,1.799957
FILLER_101_337,VPWR,li1,163.3000,285.6000,1.799957
FILLER_101_334,VPWR,li1,159.6200,285.6000,1.799956
FILLER_101_322,VPWR,li1,156.4000,285.6000,1.799956
FILLER_101_315,VPWR,li1,151.1100,285.6000,1.799958
FILLER_101_309,VPWR,li1,148.1200,285.6000,1.799959
FILLER_101_305,VPWR,li1,146.5100,285.6000,1.799961
FILLER_101_293,VPWR,li1,143.0600,285.6000,1.799964
FILLER_101_281,VPWR,li1,137.5400,285.6000,1.799969
FILLER_101_277,VPWR,li1,133.6300,285.6000,1.799973
FILLER_101_265,VPWR,li1,130.1800,285.6000,1.799976
FILLER_101_253,VPWR,li1,124.6600,285.6000,1.799981
FILLER_101_249,VPWR,li1,120.7500,285.6000,1.799986
FILLER_101_237,VPWR,li1,117.3000,285.6000,1.799988
FILLER_101_225,VPWR,li1,111.7800,285.6000,1.799993
FILLER_101_221,VPWR,li1,107.8700,285.6000,1.799995
FILLER_101_209,VPWR,li1,104.4200,285.6000,1.799995
FILLER_101_197,VPWR,li1,98.9000,285.6000,1.799995
FILLER_101_193,VPWR,li1,94.9900,285.6000,1.799996
